source_id,display_name,provider,access_mode,access_pattern_category,provenance_class,trust_level,credential_requirement,promotion_status,probe_result_class,last_http_status,last_bytes_read,last_sha256_present,bounded_probe_appropriate,deterministic_url_generation_direct,deterministic_asset_resolution_after_discovery,next_unlock_step
chirps_daily_precipitation,CHIRPS daily precipitation,UCSB CHC,static_https,future_unverified,official_primary,documented_unverified,none,research_only,not_in_stack_probe,,0,False,True,False,False,docs verification or bounded probe design
terraclimate_monthly,TerraClimate monthly climate grids,University of Idaho / TerraClimate,opendap,future_unverified,official_primary,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,True,False,True,design adapter and metadata probe
worldclim_bioclim_normals,WorldClim / BioClim climate normals,WorldClim,static_https,future_unverified,official_primary,documented_unverified,none,research_only,not_in_stack_probe,,0,False,False,False,False,docs verification or bounded probe design
gridmet_daily,gridMET daily meteorology,University of Idaho / gridMET,opendap,future_unverified,official_primary,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,True,False,True,design adapter and metadata probe
era5_cds,ERA5 / ERA5-Land via CDS,ECMWF Copernicus Climate Data Store,authenticated_https,credential_gated,official_primary,documented_unverified,bearer_token,blocked_by_auth,not_in_stack_probe,,0,False,False,False,False,complete auth scaffold before probe
nldas_gldas_gesdisc,NLDAS/GLDAS via GES DISC,NASA GES DISC,cmr_api,credential_gated,official_primary,documented_unverified,earthdata_login,blocked_by_auth,not_in_stack_probe,,0,False,False,False,True,complete auth scaffold before probe
noaa_gfs_nomads_grib_filter,NOAA GFS NOMADS GRIB filter,NOAA/NCEP,grib_filter,service_discovered,official_primary,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,True,False,True,design adapter and metadata probe
noaa_hrrr_public_cloud,NOAA HRRR public cloud/NOMADS,NOAA,s3_public,future_unverified,official_cloud_mirror,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,False,False,False,design adapter and metadata probe
noaa_mrms_precipitation,NOAA MRMS precipitation,NOAA,unknown_future,future_unverified,official_primary,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,False,False,False,design adapter and metadata probe
cmip6_esgf,CMIP6/ESGF climate model outputs,ESGF,authenticated_https,credential_gated,institutional_mirror,documented_unverified,bearer_token,blocked_by_auth,not_in_stack_probe,,0,False,False,False,False,complete auth scaffold before probe
pangeo_climate_zarr_catalogs,Pangeo-hosted climate/Zarr catalogs,Pangeo community,mirror_https,mirror_candidate,community_mirror,mirror_needs_validation,none,research_only,not_in_stack_probe,,0,False,False,False,False,verify provenance and bounded probe
microsoft_planetary_computer_stac,Microsoft Planetary Computer STAC candidates,Microsoft Planetary Computer,stac_api,api_discovered,institutional_mirror,documented_unverified,bearer_token,blocked_by_adapter,not_in_stack_probe,,0,False,False,False,True,complete auth scaffold before probe
opentopography_dem,OpenTopography DEM sources,OpenTopography,authenticated_https,api_discovered,official_primary,documented_unverified,bearer_token,blocked_by_auth,not_in_stack_probe,,0,False,False,False,False,complete auth scaffold before probe
eobs_european_climate,E-OBS European climate grids,ECA&D / Copernicus-adjacent,mirror_https,mirror_candidate,institutional_mirror,documented_unverified,unknown,research_only,not_in_stack_probe,,0,False,False,False,False,complete auth scaffold before probe
ecmwf_copernicus_mirror_candidate,ECMWF/Copernicus derived mirror candidates,ECMWF/Copernicus,mirror_https,mirror_candidate,institutional_mirror,mirror_needs_validation,unknown,research_only,not_in_stack_probe,,0,False,False,False,False,complete auth scaffold before probe
daymet_single_pixel_rest_duplicate_guard,Daymet single-pixel REST service proof guard,ORNL DAAC,parameterized_rest,service_discovered,official_primary,verified_live,none,experimental_probe_supported,not_in_stack_probe,,0,False,True,False,False,docs verification or bounded probe design
